"name"	"num"
"Tundra"	11
"Tropical & Subtropical Moist Broadleaf Forests"	1
"Mediterranean Forests, Woodlands & Scrub"	12
"Deserts & Xeric Shrublands"	13
"Temperate Grasslands, Savannas & Shrublands"	8
"Boreal Forests/Taiga"	6
"Temperate Conifer Forests"	5
"Temperate Broadleaf & Mixed Forests"	4
"Montane Grasslands & Shrublands"	10
"Mangroves"	14
"Flooded Grasslands & Savannas"	9
"Tropical & Subtropical Grasslands, Savannas & Shrublands"	7
"Tropical & Subtropical Dry Broadleaf Forests"	2
"Tropical & Subtropical Coniferous Forests"	3
